기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
유양디앤유,Y,2017,74706614238,23351448883,18539097104,31634456052,,129978857869,22700703344,4398431007,,,204685472107,62196661429,62178219327,,13460104084,75656765513,,8389565955,,129028706594,204685472107,112119451246,107500128132,4619323114,8138485275,-3519162161,287663266,3150510269,4165350334,291566602,3873783732,44235659979,-4700438760,-25064065989,39693074401,9928569652,13429232618,23351448883
유양디앤유,Y,2018,75512533790,33558771781,15623679200,16704075053,,118639049125,23386485474,1937155511,,,194151582915,76906209195,73695681894,,9795024255,86701233450,,-20577363509,,107450349465,194151582915,91081443405,97312362774,-6230919369,12095976897,-18326896266,4621105792,13478987124,-31622111457,-1649762620,-29972348837,-42015795166,-2547513904,-29553849563,42338314172,10236950705,23351448883,33558771781
유양디앤유,Y,2019,68193733612,13550589238,21059230251,27351850706,,138495304333,22937466803,2298104210,,,206689037945,80319827847,78550309310,,10851861528,91171689375,,-29201428995,,115517348570,206689037945,108289227485,102732442330,5556785155,10642489001,-5085703846,5651673641,7406952121,-9116455002,384971296,-9501426298,-1906746539,-15376786905,-10079443798,5527004151,-19929226552,33558771781,13550589238
유테크,Y,2015,30086675074,9833821945,3414599063,7613601335,,37477244848,35660317216,184197185,,,67563919922,10835530399,3222229924,,20025289665,30860820064,,19192470482,,36703099858,67563919922,43867257129,36787265766,7079991363,3923089200,3156902163,2119530208,2986140149,2672791995,613065777,2059726218,1939145038,12635155471,-11384951870,5273267959,6523471560,3306745846,9833821945
유테크,Y,2016,25733817097,3039780010,1381203831,15679230917,,35889714224,30523763346,173226986,,,61623531321,9410509987,2677671496,,25374779260,34785289247,,8098329912,,26838242074,61623531321,25956898021,30922076728,-4965178707,3499169692,-8464348399,1514047406,1553169102,-11785988543,378412738,-11407575805,-11161230899,-12314504977,-3315125574,8746951024,-6882679527,9833821945,3039780010
유테크,Y,2017,16179349822,1771768424,290035096,11152153162,,35030423757,25749120273,118607786,,,51209773579,26901447160,1692613021,,12681715223,39583162383,,-13080275553,,11626611196,51209773579,20919273424,19368752268,1550521156,9416255098,-7865733942,539207405,4461332103,-20741794504,260225206,-21002019710,-20989472682,2025592302,-13104479773,9971387024,-1107500447,3039780010,1771768424
유테크,Y,2018,6712326302,1876417885,1309110482,2664968741,,32893117461,16116737426,66585585,6808103950,,39605443763,15739764485,1589314066,,6448637503,22188401988,,-34032032435,,17417041775,39605443763,18746184830,16892563102,1853621728,7079239009,-5225617281,940516040,2616768792,-18448326026,6262689,-18442063337,-18424645451,659967533,-8189962295,7634371181,104376419,1771768424,1876417885
유테크,Y,2019,26819041893,2287356248,4231461241,4525498573,,11064230966,4363202958,24197051,,,37883272859,15588096095,1440128648,,1843819133,17431915228,,-40984980476,,20451357631,37883272859,15945745895,16246881674,-301135779,3925152834,-4226288613,1585285961,2747240134,-6987803098,15399248,-6972403850,-6917806517,-8277831784,6454779481,2233990666,410938363,1876417885,2287356248
이노와이즈,Y,2015,27462472453,2354746867,49384985,9242118616,,54414169599,25049414215,279628161,12621165743,,81876642052,22988560271,6523893419,,15901200185,38889760456,,30983278450,,42986881596,81876642052,48486850865,43276382410,5210468455,5057466575,153001880,1099602741,1289691386,64850788,300476851,-235626063,-261712835,-4686440966,-756458957,7660659731,2217759808,136987059,2354746867
이노와이즈,Y,2016,35543085300,4351399115,10525521,12313976685,,44882753551,11179460932,453977198,18174423324,,80425838851,23658758388,4543088554,,16671255702,40330014090,,27963539017,,40095824761,80425838851,32797975270,29829068205,2968907065,4561408639,-1592501574,802865553,2108690017,-2936191532,5897441,-2942088973,-2813406375,-270975269,153736564,2103556385,1996652248,2354746867,4351399115
이노와이즈,Y,2017,33481437120,2924455711,5037675,7233204033,,45932169544,30297457650,563321186,0,,79413606664,24446027386,7366992225,,14493730586,38939757972,,28341562948,,40473848692,79413606664,34360710086,29574314471,4786395615,4361545845,424849770,1527535092,1576024756,408576325,30552394,378023931,378023931,4113997299,-437897579,-5099709001,-1426943404,4351399115,2924455711
이노와이즈,Y,2018,19533411838,171337256,7021376,6742360603,,35824491404,29240032982,553084396,,,55357903242,23978568065,4794618364,,10102290000,34080858065,,11019384133,,21277045177,55357903242,25882527843,26306534893,-424007050,4995743974,-5419751024,162687725,7835157913,-9738872139,-1972892032,-7765980107,-7765980107,-306450786,8623203968,-11070807500,-2754054342,2925391598,171337256
이노와이즈,Y,2019,0,0,0,0,,0,0,0,,,0,0,0,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이매진아시아,Y,2015,,2568793517,,3424464523,,,173080895,839767483,,,24368740945,,1203142812,,,9208577704,,,,15160163241,24368740945,18055935987,16151200236,1904735751,1507823539,396912212,1981561756,-396282986,-2871781788,0,-2871781788,-3245281788,-802962625,-2811326462,5198823489,1584534402,984259115,2568793517
이매진아시아,Y,2016,,355877794,,2252156876,,,553735035,161901947,,,40406702852,,911933993,,,6074788926,,,,34331913926,40406702852,21369544953,21104129859,265415094,4646125209,-4380710115,435831749,-1095459872,2222805954,,2222805954,4001205954,-1385802010,-14849340059,14022226346,-2212915723,2568793517,355877794
이매진아시아,Y,2017,,895604799,,2534800974,,,456096607,82442884,,,38487192548,434960166,2507243604,,,3718320898,,-61376223320,,34768871650,38487192548,8727401657,9969579633,-1242177976,5184209831,-6426387807,1081935608,1209704990,-16920168994,,-16920168994,-18152657179,-6954831241,-7883520634,15378078880,539727005,355877794,895604799
이매진아시아,Y,2018,,6293523167,,5010036265,,,387504963,356756953,,,25901187505,492697833,1936938665,,,2429636498,,-73125963193,,23471551007,25901187505,19199724679,19242532043,-42807364,3790272758,-3833080122,509825763,986039840,-12449626816,,-12449626816,-12449626816,-2942895386,7742482709,598331045,5397918368,895604799,6293523167
이매진아시아,Y,2019,,3166584812,,5810312598,,,1054140789,73588502,,,18295140915,370063148,868485338,,,4980992184,,-89261033254,,13314148731,18295140915,8023479832,8160152542,-136672710,3002697130,-3139369840,889677356,1512776291,-16125688636,,-16125688636,-16125688636,-14048839829,2169180410,8752721064,-3126938355,6293523167,3166584812
이에스에이,Y,2015,,2374248789,10784896,1210183624,,,240324158,5681603532,,,20107489507,,5875287494,,,13818809726,,-16634352913,,6288679781,20107489507,3181551826,2807104921,374446905,10613726552,-10239279647,375746984,5114980115,-17670569740,39481598,-17710051338,-17710051338,-6498066160,-5433527979,8500000000,-3431594139,5802387996,2374248789
이에스에이,Y,2016,5891261177,2775318225,,2017866565,,21812974290,320692706,3373110020,,,27704235467,12410200720,,,,12410200720,,-23823635792,,15294034747,27704235467,3016993670,8135978907,-5118985237,3718886436,-8837871673,,,-6824328240,364954639,-7189282879,-7240358757,-4896861597,-12815400207,18110920771,401069436,2374248789,2775318225
이에스에이,Y,2017,13346635353,3648718708,,4758175040,,8268628695,41020953,177997073,,,21615264048,8324370422,8324370422,,,8324370422,,-49507896837,,13290893626,21615264048,7473240362,5315754366,2157485996,1814684388,342801608,378025719,3327302320,-21794987727,,-24662108381,-24611032503,-2395016098,-12703287025,15975725333,873400483,2775318225,3648718708
이에스에이,Y,2018,5621908403,3316926808,10346991,1964319155,,51677512749,5688862986,2764547946,,,57299421152,21084554979,19902865592,,34040694,21118595673,,-63639502477,,36180825479,57299421152,4405197079,4319614300,85582779,6912814290,-6827231511,679712098,3334185928,-14131605640,,-14131605640,-14131605640,-5978005200,-37073312080,42719794829,-331791900,3648718708,3316926808
이에스에이,Y,2019,16351234784,375841386,9005518,285885885,,21780320617,5672914984,724159933,,,38131555401,2320004540,1175915515,,70011205,2390015745,,-87818630760,,35741539656,38131555401,2737530571,4144964679,-1407434108,6268706229,-7676140337,1894312271,10205320542,-24179128283,0,-24179128283,-24214728683,-6821720492,3081616461,799323453,-2941085422,3316926808,375841386
이엠앤아이,Y,2015,43133173532,1320597246,1602206131,35039795320,,42560455102,8260561852,2836467921,,,85693628634,27710571578,6188117229,,6068730716,33779302294,,12925811410,,51914326340,85693628634,72421824813,-54383320806,18038504007,7832737863,4330781948,3627895706,2100633807,5958259598,890471555,5067788043,3255696944,10272011212,-19257764927,7461100000,-1518673966,2839271212,1320597246
