,기업명,기업코드
10954,모든투자개발,00983226
10955,한원,00259581
10956,엠비존씨엔씨,00917746
10957,유진소재산업,00675974
10958,마제스타,00963851
10959,한림토건,00920388
10960,와이앤씨,01020852
10961,부산상공사,00971203
10962,와이제이특수강,00764241
10963,서래에스엔씨,00769307
10964,맥스무비,00574781
10965,성신기업,00576594
10966,세종상가,00969095
10967,세화다이캐스팅,00963170
10968,에스엘테크,00521202
10969,대경석유,00917180
10970,농업회사법인건형축산,00874627
10971,현대에이치씨엔포항방송,00419697
10972,엔타즈,00475772
10973,에치케이디벨로핑,00822855
10974,리앤에스,00414452
10975,경현산업개발,00480914
10976,푸른산,00651497
10977,경방유통,00207870
10978,모뉴엘,00649182
10979,대호에너지,00769909
10980,그린플러스종합건설,00960915
10981,인테라뱅,01012969
10982,삼우건설조경,00870719
10983,올레케이티제일차유동화전문유한회사,00911618
10984,희,00983518
10985,해성개발,01029330
10986,에스에스디,00912440
10987,에스이티,01016035
10988,정성식품,00526784
10989,대양수력,01017812
10990,아딕센매뉴팩처링코리아,00866530
10991,씨퍼스트에프유동화전문유한회사,00899918
10992,나투라파워,00759106
10993,유텍미디어코리아,00526863
10994,이남건설,00573445
10995,데이지엔터테인먼트,00832807
10996,연수개발,00561033
10997,대양금속산업,00963268
10998,평화자동차,00368922
10999,예건에스에이엠산업개발,00976581
11000,선호기업,01030734
11001,에스알건설,00871550
11002,일양바이오팜,00818366
11003,에이스오토인베스트제이십육차유동화전문유한회사,01016691
11004,하닉스바이오파마,01016707
11005,가야산업,00253259
11006,한국지아이티,01028085
11007,와이즈모바일제오차유동화전문유한회사,00981617
11008,유일산업,00290001
11009,드림엔지니어링,01018714
11010,대교회계법인,01013065
11011,서도비엔아이,00925231
11012,위즈국제물류,01024353
11013,사랑,00921730
11014,대신스틸,01030488
11015,태형산전,00620071
11016,신흥프로퍼티파트너스,00835521
11017,바다로,00892058
11018,대곡스포렉스,00386070
11019,한창기업,00177214
11020,금상첨화,00976332
11021,세웅중공업,00614441
11022,유에스더블유유동화전문유한회사,01033546
11023,군인공제회,00345471
11024,와이제이파이낸셜대부,01033607
11025,베스트엔지니어링,00883306
11026,동아상조,00623625
11027,삼성복지상조,00865285
11028,유피아이,00916260
11029,대광올레통신,01010536
11030,농업회사법인해밀생명과학,00926629
11031,제일에이치케이,01042933
11032,영진코퍼레이션,00356158
11033,마성선박,00961358
11034,에이제이파이낸스,00843025
11035,웰빙산업개발,01043118
11036,정우이엔피,01043552
11037,그린에너지,01029987
11038,엔케이테크,00809234
11039,코크렙제8호위탁관리부동산투자회사,00560025
11040,유니온스틸,00140380
11041,캠코제사차합작투자유동화전문유한회사,00791528
11042,한미모기지제이차유동화전문유한회사,00791050
11043,산은2차유동화전문유한회사,00339221
11044,산은3차유동화전문유한회사,00382056
11045,에이스오토인베스트제삼십이차유동화전문유한회사,01072387
11046,농업회사법인계영농산,00815004
11047,마일즈스톤인베스트먼트,01064096
11048,알파그로쓰인베스트,01071412
11049,예공,01010022
11050,한진팜,01039142
11051,우리아이비글로벌본드,00634205
11052,매화케이스타스,00386991
11053,히타치국제전기,00438027
11054,캠코제십일차합작투자유동화전문유한회사,00858647
11055,청라씨씨제일차,00880132
11056,케이메이드,00980733
11057,유씨지제이차유동화전문유한회사,00456768
11058,화책미디어(홍콩)인베스트먼트리미티드,01054974
11059,비티비솔루션,00810513
11060,베리파인,00665056
11061,씨씨케이홀딩스,01060425
11062,이누카인터랙티브,00941789
11063,미유원,00940902
11064,진행워터웨이,00942122
11065,에코넥스이디디,00894843
11066,쥬라솔라,00792086
11067,마르스물류단지,00834452
11068,수,00532509
11069,용진일렉콤,00914730
11070,인송도시개발,00621061
11071,21세기조선,00480765
11072,엠씨테크놀러지,00928821
11073,오투벨리리조트본사,00928496
11074,르메이에르,00225593
11075,티엔텍,00822369
11076,시티미디어,00932392
11077,경남모직,00101275
11078,이앤에프식품,00940735
11079,화성씨앤디,00940896
11080,고뫄스빌딩,00941512
11081,화강신재생에너지,00933203
11082,초록동산,00892702
11083,화명캐슬제이차,00907961
11084,아이앤아이,00611639
11085,다산폴리텍,00941150
11086,쿠오핀,00942274
11087,티에스티아이이엔지,00940188
11088,서초구민체육센터,00954011
11089,성일약품,00226291
11090,비츠로글로리,00910071
11091,이지에메랄드,00838838
11092,원메이트,00248354
11093,진영글로벌,00486291
11094,한국특전,00927053
11095,더스페이스,00819611
11096,진성건설,00926850
11097,비엥에트르,00621186
11098,하이씨엔에스,00832986
11099,세양개발,00937148
11100,대진테크,00937306
11101,지엠에스인터내셔날,00937360
11102,다이나지피,00936981
11103,웨이브인,00938864
11104,삼미지오테크,00960553
11105,시선,00639422
11106,안국종합건설,00568531
11107,한성도시개발,00579388
11108,교하산업,00937096
11109,상아쏠트,00937078
11110,씨티앤티,00334493
11111,대우증권그린코리아기업인수목적회사,00797674
11112,에스앤에스,00964470
11113,유승토건,00960386
11114,야호텍,00923987
11115,씨엘케이파트너스,00808280
11116,다모아전자,00961765
11117,AmundiSingaporeLimited,00935928
11118,FreudenbergSE,00935937
11119,신강하이텍,00875945
11120,오성단조공업,00566791
11121,에스제이홀딩스,00814467
11122,지노시스템,00244589
11123,유더블유제육차유동화전문유한회사,00943264
11124,빅트론닉스,00943592
11125,해양목재,00938077
11126,대경홀딩스,00938095
11127,에이앤드에이인터내셔날,00938183
11128,귤현스타씨티,00640871
11129,부일석유,00124443
11130,제이피씨,00469054
11131,진양,00943422
11132,라온텍,00965512
11133,코퍼슨스,00677024
11134,퍼스텍아이앤씨,00535250
11135,이노지스,00619075
11136,여수해양조선,00810285
11137,영남저축은행,00173166
11138,보다코리아,00968139
11139,천안무역,00211299
11140,피에스테크,00967042
11141,나우텔,00893020
11142,금광아트빌,00839819
11143,"SECOMCO.,LTD.",00517333
11144,키오스크테크놀로지,00540313
11145,진영강업,00528597
11146,유엠투엠,00873901
11147,에스케이알,00834586
11148,에이케이태양광,00784786
11149,한국투자신성장1호기업인수목적회사,00802028
11150,하이엔드타워팔차,00964780
11151,오베론테크놀로지,00806538
11152,동원데어리푸드,00164292
11153,성서리버파크제이차,00942803
11154,케이엔에프중공업,00449670
11155,휴먼텍코리아,00371519
11156,하담,00984614
11157,ARCapitalPte.Ltd.,00981325
11158,새로넷미디컴,00775690
11159,나운건설,00988735
11160,약사동아이파크제일차,00885438
11161,뉴트리니티충주제이차,00994620
11162,에스에스씨피,00126593
11163,아이젠시스템즈,00984863
11164,메드빌,00679606
11165,한맥개발,00634922
11166,이에이알제이차유동화전문유한회사,00986445
11167,금비농산,00986384
11168,그랜벨인터내쇼날,00550329
11169,중앙회계법인,00481199
11170,FIDLowPricedStockFund,00484257
11171,국민씨앤씨대부,00988744
11172,아이엠아이,00942362
11173,프론티어솔루션,00577487
11174,인도건설,00962366
11175,오피엠에스,00857000
11176,한신회계법인,00605577
11177,오토피아제사십이차유동화전문유한회사,00756303
11178,엔피아이,00337436
11179,이알제십차유동화전문유한회사,00992914
11180,에이스오토인베스트제이십일차유동화전문유한회사,00981352
11181,이지회계법인,00423186
11182,덕양도시가스서비스,00680240
11183,메리츠금융정보서비스,00884800
11184,청원드릴링,00992844
11185,오딘제6차,00993302
11186,에스케이비에스비에스에스피씨,00822554
11187,갤럭시아포토닉스,00412694
11188,부산파이낸스센터에이엠씨,00800127
11189,이엠테크,00911292
11190,한림회계법인,00388935
11191,엘투이천팔제일차,00684103
11192,호반베르디움,00493219
11193,지엘,00927239
11194,에잇씨티,00966113
11195,센트럴파크,00402590
11196,고림개발,00560089
11197,고진디엔씨,00626136
11198,햄워디컴버스쳔엔지니어링,00916987
11199,천기자원,00984890
11200,씨제이이엔지,00890236
11201,환경시설운영,00479440
11202,제일종합기술,00578486
11203,발해씨앤에이,00874849
11204,에이치에스비씨글로벌인베스트먼트펀드,00759948
11205,오토피아제오십차유동화전문유한회사,00970718
11206,프리비아제이차유동화전문유한회사,00852722
11207,오토피아제사십오차유동화전문유한회사,00838625
11208,오토피아제사십사차유동화전문유한회사,00800020
11209,신한모기지제이차유동화전문유한회사,00778509
11210,퍼스트홈론제구차유동화전문유한회사,00681151
11211,누비코,00865425
11212,한일유통,00239684
11213,코림,00551753
11214,에이엠씨오,00597685
11215,퍼블리시스다이알로그,00821281
11216,쌍용에코텍,00927929
11217,유피교육,00575717
11218,에스지씨테크놀로지,00300742
11219,티브로드새롬방송,00368658
11220,한불보떼,00943501
11221,한국기판,00959751
11222,뉴유아이,00578495
11223,국제금속,00104625
11224,에스씨인터내셔날,00919072
11225,케이씨엠,00876245
11226,평산,00220181
11227,우리개발,00937102
11228,헤마토센트릭라이프연구소,00970365
11229,한국단조공업,00603180
11230,오리온밸리,00875431
11231,한국케이디케이,00960003
11232,미래산업개발,00820477
11233,뉴스타펜타포트제이차,00995948
11234,뉴스타펜타포트제일차,00995939
11235,티온텔레콤,00235040
11236,한성회계법인,00865762
11237,트루프렌드학운제삼차,01007198
11238,에이알플러스,01007037
11239,밸류플러스제십차,01006913
11240,오씨아이서울태양광발전,00946599
11241,진도종합건설,00413806
11242,동재산업,00199696
11243,대신자토산업,00663641
11244,테크니콤,00809401
11245,글로빌프로세스,00524449
11246,선우엔터테인먼트,00760528
11247,아뮤티제이차,00590682
11248,올레케이티제십삼차유동화전문유한회사,01004678
11249,엔피텍,00489881
11250,센트리온홀딩스,00982847
11251,글로벌이쿼티홀딩스,01004687
11252,알파크래프트투자목적회사,01004711
11253,에이이피,00875963
11254,뉴스타석관유동화전문유한회사,00883412
11255,피델리,01008179
11256,경북철강,00676441
11257,블랙플래티넘제이차,00990341
11258,서초드림제삼차,00997308
11259,화사랑,00979278
11260,의료법인문원의료재단서울병원,00911742
11261,지엘,00806608
11262,센터랩인베스트먼트홀딩,01010934
11263,덕수건설,00540128
11264,태영전산폼,00988267
11265,거진종합건설,00988416
11266,아이엠홀딩스,00988407
11267,애드원플러스,00924366
11268,남양주건설,00913704
11269,에스티에스로지스틱스,00562236
11270,서림에프씨,00660440
11271,실스타인더스트리,00961640
11272,덕성레저개발,00836274
11273,엠오티,01026236
11274,삼능개발,00624396
11275,피닉스텍,00965530
11276,테크노빌리지,00494944
11277,아마텍,00820264
11278,키움자산운용,00844501
11279,심팩로지스틱스,00796912
11280,보성인더스트리,00366544
11281,삼인,00964124
11282,청영건설,00545804
11283,디엠아이앤디,00835558
11284,관양연합상가,00920829
11285,서래홀딩스,00818667
11286,진영식품,00443092
11287,대창엔지니어링,01025042
11288,에이더블유엠,01024265
11289,교육지대,01017210
11290,오엔이건설,00872799
11291,지에프아이코리아외국환중개,00657093
11292,이웨스,00216753
11293,호수건설,00487096
11294,스펜오컴,00366368
11295,유일엔지니어링,00910424
11296,나로산업개발,00927275
11297,에이치티엘,00925860
11298,풍림수산,00253718
11299,엔제닉,00975218
11300,강산종합건설,00962621
11301,다솔피엠,00811424
11302,준산업개발,00895976
11303,온누리산업개발,01018477
11304,예일개발,00957920
11305,위니맥스,00959654
11306,우성홀딩스,00962311
11307,오스킨,00972646
11308,튜벡스,00940258
11309,바이널,01019458
11310,올레케이티제이차유동화전문유한회사,00924588
11311,서원,01030868
11312,캐피탈익스프레스,00843122
11313,아그로에이앤지제삼차,01029233
11314,농업회사법인의성바이오파크,00971744
11315,현중산업개발,00624660
11316,유정이엔에스,01019397
11317,유공,01018741
11318,에스엠씨,00369994
11319,한일철강,00174457
11320,나루기술,00815262
11321,거인디앤씨,00927798
11322,씨에프글로벌,01024618
11323,정관디스플레이,00967741
11324,지평,01030114
11325,아진지오텍,00978312
11326,와이즈모바일제십차유동화전문유한회사,01015850
11327,티엔스,00961011
11328,비오에프인베스트먼트,00819019
11329,평해해운,00871949
11330,세흥화학공업,00134875
11331,동명중공업,00667805
11332,살림출판사,00866655
11333,미오,00968582
11334,디더블유,00974440
11335,일우산업,00941248
11336,피엔지플래닝,00875352
11337,아인스건설,01023813
11338,엠디플렉스,00579935
11339,캄컴,01025893
11340,아티스,00866187
11341,KJ컴텍,00441775
11342,광주시민프로축구단,00824473
11343,대흥테크,00891183
11344,아성홀딩스,00943945
11345,하바스월드와이드코리아,00250526
11346,부일건설,01028553
11347,도남스틸,00995090
11348,하룡,00944324
11349,이천낸드플래시유동화전문유한회사,00538600
11350,로마건설산업,00607168
11351,넥스트프로퍼티스,01006171
11352,지디코프,00254009
11353,엑셈,00632067
11354,오키,01077106
11355,동부전자재료,01061770
11356,MapleSeasonInvestmentsLimited,01081163
11357,명화엔지니어링,00226608
11358,상우,01056848
11359,크리컬쳐,01056936
11360,센트럴빌리지,01070617
11361,지오,00961880
11362,와이즈모바일제십오차유동화전문유한회사,01072828
11363,예우,01042766
11364,IMANTOAG,01044773
11365,아시아퍼시픽2호선박투자회사,00505541
11366,지엠지,00937184
11367,두림,01072606
11368,WellingtonManagementInternationalLtd,01060540
11369,하나아이엔디,00974264
11370,태양정공,01073049
11371,자연디앤씨,01028377
11372,HarrisAssociatesL.P.,00538725
11373,이숙,01042191
11374,무들알앤씨,01042410
11375,칼제십삼차유동화전문유한회사,01036792
11376,광성하이택,00103787
11377,뉴트리니티충주제오차,01072457
11378,동주항업,00297350
11379,대신에이엔씨,00692449
11380,알이어드바이저스,00978048
11381,엘티엘,00990837
11382,푸르지오시흥제삼차,00952615
11383,유암코워크아웃제일차기업재무안정사모투자전문회사,01049255
11384,JunaInternationalLimited,01049264
11385,세동석유,01041280
11386,대국산업,01040005
11387,에이스오토인베스트제이십팔차유동화전문유한회사,01041396
11388,마루베니,00688154
11389,울산신정동하이츠,00606743
11390,에이치엘드림제일차,00959159
11391,더비이피앤코,00578389
11392,현대라이프보트,00577317
11393,롯데햄,00120599
11394,용호산업개발,00362399
11395,농업회사법인굿랜드,00928919
11396,화인특수지,00873734
11397,우리상조개발,00810902
11398,스타케미칼,00867672
11399,동양목재산업,00837468
11400,네오디더블유씨제사차,00928210
11401,신철산업개발,00786605
11402,금강엔터프라이즈,00943121
11403,우리피앤씨,00835983
11404,삼열물산,00806839
11405,환경기계공업,00872665
11406,진안농업회사법인,00618988
11407,미래가,00525411
11408,우리전기,00201566
11409,한나건설개발,00819763
11410,이산레저,00640464
11411,아이플러스테크놀로지,00570244
11412,월인베스트먼트,00871639
11413,오토엠아이티,00535621
11414,세연테크놀로지,00665311
11415,리스탑,00533784
11416,오천피에스텍,00928690
11417,조은나라,00942982
11418,그린이엔텍,00942760
11419,디에스아트홀,00941725
11420,목암생명공학연구소,00955588
11421,더블유메카,00955597
11422,뮤지컬해븐,00891581
11423,허브제일차,00649340
11424,리만브라더스에이치와이오퍼튜너티즈코리아,00425573
11425,현우기술연구,00958646
11426,포스코플랜텍,00185514
11427,일익건설,00542092
11428,관광호텔바빌론,00778767
11429,태방기계,00606983
11430,신승,00919832
11431,케이이에스,00810267
11432,성우종합건설,00452416
11433,비앤테크,00504940
11434,시티라이프알앤디,00606187
11435,팬퍼시픽,00416627
11436,보명개발,00814342
11437,테크노호텔,00970675
11438,동일기업,00936839
11439,고려조선,00563758
11440,동일철강,00966919
11441,무한투자,00240398
11442,서훈종합건설,00938129
11443,세미라인,00831570
11444,지구물산,00928025
11445,금호,00969475
11446,대명요양센터,00817464
11447,파크플러스,00576196
11448,인디넷,00936565
11449,한국종합환경,00936802
11450,이피아이,00936644
11451,성림피에스,00624484
11452,시흥동복합시설개발피에프브이,00817747
11453,신농유통,00208435
11454,영화,00943459
11455,라다스튜디오,00946863
11456,씨아이코리아,00479848
11457,WeissAssetManagementLP,00947020
11458,와이티엔라디오,00675798
11459,아이엔엘,00808110
11460,신원네트웍스,00967583
11461,SBIBB모바일인베스트먼트,00945819
11462,SBI브로드밴드펀드1호,00945828
11463,농업회사법인서원농원,00843663
11464,프리즘테크놀로지,00817871
11465,펌킨씨오,00569211
11466,쥬마임인터내셔널,00928168
11467,거북표씽크,00669885
11468,이엘엠,00913078
11469,우성,00940285
11470,씨알피플앤씨티,00891749
11471,테드제일차,00874663
11472,아모엘이디,00841346
11473,능인,00547732
11474,대부인더스,00894898
11475,로얄관광개발,00191339
11476,에이디텍스,00791193
11477,서밋에셋스트레티지스코리아,00778660
11478,디에스디신봉제이차,00984906
11479,마린솔루션,00995984
11480,한국전파진흥원,00419882
11481,강북도시가스서비스,00635082
11482,해피그린서비스,00634010
11483,대성에너지제3서비스,00567639
11484,엔에이치에스지사모투자전문회사제이호,00977818
11485,대성에너지제1서비스,00567648
11486,남부도시가스이엔지,00863515
11487,동부티에스블랙펄기업인수목적,00828309
11488,용인행정타운제일차,00883962
11489,엔브이에프,00410368
11490,에이원플러스,00883485
11491,화우캐피탈,00887773
11492,남양조선,00988115
11493,에이엠티기술,00987949
11494,정우금속엔지니어링,00988018
11495,피앤제이컨설팅,00987213
11496,고려이앤씨,00831446
11497,에스에이치하우징제이차유동화전문유한회사,00994879
11498,엔에스제칠차유동화전문유한회사,00995823
11499,엔에스제팔차유동화전문유한회사,00995832
11500,화인제삼차유동화전문유한회사,00995887
11501,그린순창,00604198
11502,그린경산,00604213
11503,그린화순,00604222
11504,달성맑은물길,00931047
11505,대원,00969590
11506,크리스탈쉬핑,00822563
11507,제이제이모터스,00975139
11508,비티아이에이치,00534428
11509,광원건설,00531397
11510,블루젬디앤씨,00349468
11511,베르디움개발,00925763
11512,우평개발,00680064
11513,신원엔콤페니,00919179
11514,부국퓨쳐스타즈기업인수목적,00808262
11515,랜드마크홀딩스,00611499
11516,부웅개발,00982607
11517,아이에프에이씨티,00426156
11518,오토피아제삼십육차유동화전문유한회사,00628426
11519,슈프림제사차유동화전문유한회사,00889276
11520,칼제팔차유동화전문유한회사,00890777
11521,오토피아제사십육차유동화전문유한회사,00878924
11522,슈프림제삼차유동화전문유한회사,00846828
11523,에이치엠엠리시버블유동화전문유한회사,00982698
11524,첼린저제십칠차유동화전문유한회사,00858063
11525,커머셜오토제이차유동화전문유한회사,00852980
11526,제네시스유동화전문유한회사,00862808
11527,이티앤티,00865595
11528,그린스틸,00991313
11529,근상건설,00616166
11530,롬바드오디에펀드,00978774
11531,세움,00862446
11532,온게임네트워크,00369727
11533,삼보아이피,00125877
11534,투원미디어,00879419
11535,금성이앤씨,00877855
11536,휴젠,00619844
11537,화성정밀,00577238
11538,국전,00223531
11539,글로지스,00810434
11540,파라마운트컨설팅,00801117
11541,새롬뉴버,00871107
11542,한국씨엔티,00819453
11543,황성,00488387
11544,테스토피아,00971027
11545,핸즈썸,00924454
11546,엠판넬,00585255
11547,정림종합건설,00613187
11548,영신금속,00671464
11549,나인스에비뉴,00769486
11550,서울도시산업,00858212
11551,에버파이어니어,00867803
11552,에이치앤디에이블제이차,00974051
11553,웰스탠다드,00612027
11554,이천에너지,00814005
11555,조은산업,00835929
11556,개오망디자인,00875671
11557,삼점삼소스코,00973991
11558,에이큐건설,00941123
11559,재형산업,00931506
11560,창영기업,00799876
11561,바둑텔레비전,00204828
11562,베스티아개발,00974255
11563,웰로더,00997593
11564,에이홀딩스,00997627
11565,누리꾼,00997636
11566,천논삼차유동화전문유한회사,00857310
11567,두하요코모리,00619871
11568,색동이제십일차유동화전문유한회사,00842901
11569,로제빌,00905608
11570,KyungnamB.V.,01006861
11571,이디엔드에프만코리아,00555360
11572,칼제오차유동화전문유한회사,00841799
11573,유앤에스유동화전문유한회사,01007046
11574,현대동양농식품사모투자전문회사,00890908
11575,뉴김제지평선산단제사차,00989239
11576,트루프렌드대양제삼차,00988203
11577,트루프렌드왜관제삼차,00989354
11578,트루프렌드학운제이차,00990129
11579,산업기반신보제이차유동화전문유한회사,00981200
11580,디에스솔밭제일차,00997247
11581,케이디이에너지,00815457
11582,랜드마크아시아,00523592
11583,휴메인개발,00878128
11584,농업회사법인그린투모로우,00824640
11585,아이비미디어넷,00882088
11586,을지개발,00778350
11587,아이파크수원유동화전문유한회사,00987189
11588,남광테크종합건설,00938350
11589,예당컴퍼니,00252393
11590,랜드마크아현유동화전문유한회사,00968786
11591,송도주택피에프브이,00874247
11592,생각대로티제십오차유동화전문유한회사,00931515
11593,생각대로티제십칠차유동화전문유한회사,00935584
11594,캠코밸류리크리에이션제삼차유동화전문유한회사,00782399
11595,하이팩시스템,00988425
11596,씨엔이유동화전문유한회사,00348511
11597,에이스오토인베스트제십육차유동화전문유한회사,00934257
11598,키트코,01020542
11599,뮤지엄,00657075
11600,이수엑사플렉스,00488721
11601,동방해운,01019272
11602,한우약품,00423140
11603,프론티어종합건설,01016169
11604,한국스냅언툴즈,00988638
11605,오토피아제오십사차유동화전문,01023743
11606,드림업엔터테인먼트,01013366
11607,엔에스이젠,00662581
11608,양지랜드,00835479
11609,삼호엘에스티,01024441
11610,브루커바이오사이언시스코리아,00976077
11611,비원테크,00868398
11612,안성개발,00676104
11613,한원건설,00620080
11614,에이디에스테크놀로지,00418306
11615,오앤션,00973858
11616,클레이맥스,00834300
11617,디엠,00520452
11618,현성상사,00572288
11619,한국인삼농업법인,01023460
11620,총체보리한우유통사업단,00987602
11621,신영개발,00834647
11622,에쓰앤제이,00812487
11623,휴롬엘에스,00810850
11624,이앤아이,00619987
11625,우남건설,00183950
11626,우아미씨앤에프,00511278
11627,다온코퍼레이션,00975281
11628,유연디앤씨,00759726
11629,태인텔레콤,00968476
11630,삼양밀맥스,00170169
11631,에이원프로스,00617323
11632,씨제이헬로비전영동방송,00356255
11633,명성학원,00614487
11634,대신철강,00671835
11635,여흥토건,00414124
11636,에이치디비정보통신,00962852
11637,황소,01024061
11638,롯데브랑제리,00345028
11639,디엠케이,00972202
11640,시엘씨파이켐,00819897
11641,비씨에이캐나다,00925578
11642,씨엠아이,00922289
11643,프랑크린오프쇼어코리아,01010217
11644,우성코러스산업,00917375
11645,호제,00863694
11646,티씨씨개발,00861030
11647,한스머신,00654661
11648,유세이홀딩스,00878410
11649,나인하우스,00896708
11650,성원아이컴,00254090
11651,영보두일,00250827
11652,대영마이더스,00973496
11653,엘시종합건설,00446211
11654,광성개발,00367297
11655,국제철강,00176181
11656,농업회사법인청구바이오,01016600
11657,서해건설,00196981
11658,삼일염직,00128023
11659,서진염직,01030026
11660,스마트물류자산개발,00971504
11661,유성피엠공업,00561750
11662,한국수리미,00940665
11663,다찬인더스,00674735
11664,토마토디앤씨,00869342
11665,케이사인,00925550
11666,강유산업,00916695
11667,캠코글로벌1호선박투자회사,00823289
11668,캠코글로벌7호선박투자회사,00823225
11669,캠코글로벌8호선박투자회사,00823216
11670,캠코글로벌9호선박투자회사,00823207
11671,캠코글로벌11호선박투자회사,00823182
11672,림스코,00820176
11673,한썸,01025334
11674,대연금속,00767008
11675,선그린,00497765
11676,포승산단제사차,01011863
11677,디지제이차유동화전문유한회사,00836177
11678,디지제삼차유동화전문유한회사,00845120
11679,에이치비유동화전문유한회사,00834920
11680,에이치비제이차유동화전문유한회사,00886987
11681,엔에이치유동화전문유한회사,00880992
11682,엔에이치제이차유동화전문유한회사,00887296
11683,케이제이유동화전문유한회사,00825931
11684,코에프씨큐씨피아이비케이씨프런티어챔프2010의2호사모투자전문회사,00846776
11685,수림종합개발,00227218
11686,서초피에프브이,00877448
11687,마크슈타인인베스트먼트홀딩스,00574383
11688,공평프로젝트금융투자,00624767
11689,필에스테이트,00766461
11690,프리즘투플러스,00689995
11691,프리즘지앤시플러스,00613637
11692,인크레스코,00453576
11693,제이아이프라퍼티,00990138
11694,트리플라자피에프브이,00766337
11695,산은5차유동화전문유한회사,00388607
11696,터보테크,00229818
11697,티와이스타,00806945
11698,케이디비씨이앤애그로사모투자전문회사,01047275
11699,에스더블유에스제삼차,01047141
11700,글로벌디케이제일차,01047150
11701,골든제이드제이차,00933531
11702,올파인즈제일차,00932268
11703,울림대부관리,01034226
11704,티씨에이치아쿠아리우스피티이엘티디,01050792
11705,엔에이치글랜우드제일호사모투자전문회사,01050853
11706,한호흥업,00262390
11707,대정건설,01068135
11708,캠코밸류리크리에이션제십차유동화전문유한회사,00814157
11709,뉴스타장위5유동화전문유한회사,01060595
11710,홍익에프앤드씨,01060586
11711,키미,01011979
11712,지피에너지네트웍스,01039230
11713,볼트개발,00989521
11714,에픽셀,00983998
11715,제이에프이스틸인터내셔널유럽,00909303
11716,퍼스트홈론제육차유동화전문유한회사,00587785
11717,올레케이티제십구차유동화전문유한회사,01062380
11718,삼지회계법인,00918046
11719,외환아이제일차유동화전문유한회사,01048654
11720,메타넷이에스지,00682248
11721,르셀,00869041
11722,동인디앤씨,00696843
11723,이플러스텍,00870506
11724,티로우프라이스홍콩리미티드,00932480
11725,초이컨설팅,00932666
11726,지피에이치,00941424
11727,씨퍼스트메타제이차,00852962
11728,씨퍼스트별내제일차,00840949
11729,성삼,00935982
11730,제이비에스건설,00664233
11731,후지킨코리아,00922207
11732,카드넷,00441623
11733,제이케이바이오,00768575
11734,한진관광,00163549
11735,이지종합건설,00447131
11736,삼영테크놀로지,00559278
11737,디케이에스앤드,00582878
11738,동북아37호선박투자회사,00925213
11739,자생웰니스,00892535
11740,상천유업,00695172
11741,세주이앤지,00785527
11742,다코웰,00941293
11743,삼협기공,00776361
11744,시앤케이전자,00938226
11745,가나안푸드,00936893
11746,천마씨에스건설,00776255
11747,기안레져,00961932
11748,정호하우징,00590390
11749,에이엠엘앤디,00660149
11750,보아기계공업,00520461
11751,포스그린,00842390
11752,에스케이에스투자,00936699
11753,로이언스인베스트먼트,00101017
11754,경기상호저축은행,00385433
11755,메디포스,00943389
11756,케이비물산,00154189
11757,유현건설,00625094
11758,대흥이엔텍,00636470
11759,아바쿠스코리아,00881742
11760,스카이글로벌코리아,00881751
11761,메리츠건설,00812496
11762,자사제이에스엠,00827009
11763,엠파워,00610597
11764,연합과기공고유한공사,00680161
11765,씨엠씨월드,00937829
11766,동광합철,00937856
11767,우리양돈농업회사법인,00937449
11768,TVGINITECHHOLDINGSLIMITED,00388379
11769,베스트렌트카,00939711
11770,부성자동차운전전문학원,00917676
11771,태광엠티씨,00489599
11772,영평프라자,00547404
11773,에스칩스,00259378
11774,거묵,00866497
11775,승광,00442695
11776,에스알씨앤디,00893321
11777,범아자원개발,00866105
11778,크레딧투어제십삼차,00877989
11779,파나소닉전공코리아,00520674
11780,해리슨엔지니어링코리아,00502438
11781,대아동방항공,00924807
11782,아이스피릿,00934132
11783,동광헤비텍,00930473
11784,코스모피엔에프,00871569
11785,쓰리제이개발,00665010
11786,다함,00893701
11787,가람솔루션,00540359
11788,엠비케이파트너스이호사모투자전문회사,00935511
11789,에스와이인더스기업구조조정부동산투자회사,00797601
11790,항주,00503428
11791,거묵건설,00568221
11792,르메이에르건설,00300104
11793,램코,00487847
11794,한얼공업,00608398
11795,에이치씨에스사모투자관리,00955278
11796,동서테크,00667586
11797,어등산제일차,00881575
11798,송원엔터프라이즈,00767141
11799,녹십자백신,00914952
11800,프리즘랜드,00565808
11801,중앙개발,00221223
11802,스틸로,00567000
11803,영생,00560432
11804,동아캐스팅,00840125
11805,경도시스템,00401087
11806,케이비컨버전스,00935557
11807,디유에이엔아이,00525341
11808,교원L&C,00573001
11809,소프닉스,00758107
11810,대성엘앤에이,00518642
11811,가율회계법인,00637169
11812,TheManufacturersLifeInsuranceCompany,00988920
11813,온집,00988133
11814,더케이,00917816
11815,미래에셋파트너스2호사모투자전문회사,00814591
11816,원신스카이텍,00985561
11817,진승산업,00983369
11818,유에이치케이제삼차유동화전문유한회사,00986463
11819,허리우드,00985455
11820,아이비케이기업재무안정사모투자전문회사,00850876
11821,용산도시가스이엔지,00863481
11822,마포도시가스이엔지,00863472
11823,서부도시가스서비스,00863463
11824,국민연금공단,00706742
11825,신보2012제3차유동화전문유한회사,00914101
11826,동명회계법인,00260417
11827,오토피아제사십삼차유동화전문유한회사,00773753
11828,오토피아제사십칠차유동화전문유한회사,00889717
