,기업명,기업코드
207,유리명품장기채권형사모펀드3호,00433369
208,유리유니콘채권혼합형펀드,00433378
209,맥쿼리아이엠엠프라임7호채권형사모펀드,00433387
210,마이에셋애국성장형이호펀드,00433420
211,채권플러스알파2호펀드,00433457
212,마이다스사모프라임안정형2호펀드,00433466
213,테크포인트,00376073
214,부국개발,00234306
215,세닥에듀케이션,00429418
216,에이치엘홀딩스에스에이,00429977
217,크레디리요네증권,00340786
218,케이티인더스트리,00218928
219,김천상호저축은행,00106793
220,이화홀딩스,00378886
221,미래에셋유니온사모혼합형펀드2호,00433484
222,맥쿼리아이엠엠액티브채권형사모펀드3호,00433493
223,맥쿼리아이엠엠프라임6호혼합형사모펀드,00433509
224,유리명품장기채권형사모펀드2호,00433518
225,신우쉬핑,00406596
226,동흥컨설팅,00443001
227,디조콤,00363741
228,맘모스산업개발,00436375
229,아성,00222277
230,디토정보기술,00446284
231,오우디앤씨,00446682
232,에어웨이엑스프레스,00139995
233,탑월드,00444602
234,옥시큐어,00446433
235,진로종합유통,00150314
236,케이에프텍,00231840
237,나토상사,00236243
238,지오이네트,00309479
239,이십일세기종합건설,00447034
240,일현건설,00447496
241,삼영기공,00300928
242,삼능주택,00317566
243,동해,00412001
244,풍광직물,00155407
245,기성텍스타일,00443542
246,제텍스바론,00179726
247,국제개발,00300982
248,유유후마킬라,00298818
249,피앤씨미디어,00424644
250,비앤에프투자자문,00350570
251,한국부동산신탁제이차유동화전문유한회사,00424316
252,에이텍,00368551
253,덕경종합건설,00424307
254,글로벌스페셜혼합형사모펀드,00425078
255,태화,00154499
256,씨앤앰유동화전문유한회사,00424653
257,온누리방송,00414522
258,케이티엠,00425120
259,아이앤비골드문컨설팅,00356723
260,동국제강제일차유동화전문유한회사,00375506
261,밸류노믹스기업구조조정전문회사,00424769
262,조창,00223300
263,테크노켐,00378178
264,영지통상,00360294
265,RosewellConsulting&InvestmentLtd.,00425209
266,유리시티즌장기채권형사모펀드,00433527
267,KTB장기채권형사모펀드3호,00433536
268,KTB장기채권형사모펀드4호,00433545
269,맥쿼리아이엠엠포세이돈채권형사모펀드4호,00433554
270,마이에셋애국안정형1호펀드,00433563
271,노보스,00434702
272,세이유니온채권혼합형사모펀드,00434711
273,LG드림혼합형펀드,00434720
274,알파그로스주식형펀드,00434739
275,유리알파헷지채권혼합형사모펀드,00434748
276,알파헷지이기욱혼합형펀드,00434757
277,맥쿼리IMM홀인원채권형펀드,00434775
278,유리시장중립채권형사모펀드,00434793
279,유리알파30채권혼합형사모펀드,00434809
280,파워외환카드제사차유동화전문유한회사,00432573
281,파워외환카드제이차유동화전문유한회사,00432607
282,케드제이차유동화전문유한회사,00432643
283,굿윌경영자문,00323390
284,국제금속산업,00412861
285,덕정무역,00443913
286,삼성코닝마이크로옵틱스,00315179
287,혜성건설,00165264
288,코스모에쿼티파트너스,00368171
289,경빈,00369480
290,내외시스템,00446196
291,태승어패럴,00108311
292,금동조명,00105615
293,태광정밀공업,00360197
294,게르마니셀로이드코리아,00360364
295,청우제강,00366720
296,필리아텔레콤,00273536
297,진도개발,00443375
298,만남과축복,00447511
299,영상산업,00403872
300,카이저산업,00243793
301,쌈솔,00441757
302,링크테크21,00445221
303,건화메디팜,00448769
304,윈윈창업투자,00351357
305,지티웹코리아,00371333
306,트랜스미디어매니지먼트,00392716
307,남성유통,00424398
308,무지개유동화전문유한회사,00380322
309,엘지화학제일차유동화전문유한회사,00387264
310,페가수스캐피탈아시아,00425379
311,한솔케미언스제일차유동화전문유한회사,00421595
312,삼천리M&C,00128564
313,넥스트디앤드에스,00304757
314,드림라인제일차유동화전문유한회사,00407142
315,동국산업제일차유동화전문유한회사,00408044
316,휴먼이노텍,00112387
317,자도,00423539
318,광전자INT,00103981
319,굿케이디비제삼차유동화전문유한회사,00416478
320,신엑스퍼트유동화전문,00418801
321,비발디제일차유동화전문유한회사,00419332
322,두산위브유동화전문유한회사,00418078
323,코오롱폴리스유동화전문유한회사,00419651
324,메디캐피탈,00251695
325,파워외환카드제삼차유동화전문유한회사,00432661
326,에이치에스비프로퍼티원인베스트먼트유동화전문유한회사,00430858
327,서상금속,00432670
328,세이한가족주식형펀드,00434827
329,알파크레디트플러스채권형펀드,00434872
330,알파국공채채권형사모펀드,00434881
331,세이에이스알파혼합형펀드,00434906
332,맥쿼리IMM코리아플러스채권형펀드,00434915
333,맥쿼리IMM마켓뉴트럴혼합형사모펀드,00434924
334,세이원채권형펀드,00434933
335,그레이터차이나1호사모펀드,00435093
336,윌러스,00435109
337,디베스트사모엠엔에이펀드일호,00431820
338,미래에셋프리미어전환혼합형이호펀드,00398525
339,디지텔,00260967
340,유리세이프롱숏채권혼합형펀드,00378956
341,리젠트화재보험,00164104
342,경남리스금융,00101266
343,굿머니,00412834
344,한소닉테크,00226343
345,지산개발,00150147
346,지구환경산업,00416937
347,성도통상,00132497
348,에프샵,00216461
349,근영전자통신,00369301
350,보해주정,00360106
351,영화,00183710
352,윈스텍,00410483
353,조한도시개발,00409928
354,대웅전기산업,00209647
355,해피라인,00370316
356,세원건설,00134246
357,린나이씨에스,00444806
358,성우전자,00233112
359,에스더블유씨코퍼레이션,00297758
360,미도산업개발,00450986
361,덕성섬유,00442206
362,기흥종합건설,00361664
363,이에이치상사,00370334
364,웨이브티브이,00432616
365,축산농협안산연합사료,00444073
366,유니크,00405436
367,송학장갑,00414319
368,위트비전,00261610
369,월드무역,00362432
370,오픈테크,00415293
371,아피아,00413204
372,차세대정보통신,00413277
373,조흥신탁유동화전문회사,00268455
374,오토일천구백구십구의일유동화전문유한회사,00273606
375,한국토지신탁제이차유동화전문유한회사,00303369
376,포커스제1차유동화전문유한회사,00317043
377,베스트이지제일차유동화전문유한회사,00328517
378,모비스코람유동화전문유한회사,00341776
379,아이에스피,00362131
380,한실흥산,00427492
381,아이티엔방송,00363413
382,슈퍼데크코리아,00302829
383,산은부동산제오차유동화전문유한회사,00426758
384,덕화산업,00427474
385,국민카드이천이의일유동화전문유한회사,00428695
386,마일스톤벤처투자,00366508
387,에스비아이코리아,00402208
388,씨티은행,00175021
389,AllianzFinanceB.V.,00429250
390,동의보감유동화전문유한회사,00425777
391,세화기술투자,00109125
392,미래에셋프리미어혼합형펀드,00388810
393,마이다스차익거래안정혼합형펀드,00383426
394,아이씨켐,00146676
395,소프트윈,00338152
396,신하나로유동화전문유한회사,00438902
397,벽산건설블루밍제일차유동화전문유한회사,00432856
398,이천일아울렛제일차유동화전문유한회사,00431033
399,씨마유통,00240866
400,캠앤아이코리아,00440934
401,제이경영컨설팅,00440952
402,이리연료,00435905
403,태거산업,00435598
404,마인드텔,00350136
405,엘파오벤쳐캐피탈,00350206
406,심스밸리,00268288
407,LGEI,00105846
408,유리크레디트회사채혼합형펀드,00350756
409,알파캐피탈,00149497
410,유니씨앤티,00264778
411,미래에셋파이오니어벤처코스닥펀드,00289227
412,디에이치파트너스,00449184
413,근하종합개발호텔엑스포,00369028
414,코락,00152491
415,터보엔지니어링,00445601
416,알파엔지니어링,00407610
417,명성건설,00146241
418,스카이함백,00446071
419,비에스그룹,00368384
420,삼부이엔씨,00446840
421,두앙종합건설,00245791
422,신성전자,00449625
423,한국기업금융자문,00375223
424,고룡,00411631
425,아성식품,00256326
426,세원지애에이치,00367330
427,남양주택건설,00371838
428,이조해운,00246480
429,한서화학,00359304
430,대륭전자,00415600
431,서울에프엔텍파트너스,00422910
432,팔공산온천관광호텔,00451055
433,택산개발,00448839
434,동진피엠씨,00234670
435,대흥정공,00224707
436,신대광주택,00193568
437,아프로시스템스,00415080
438,화진코스메틱,00415053
439,모비야,00414869
440,우리켐테크,00365527
441,ABC,00364245
442,캐피탈아거스,00364005
443,유니솔,00413329
444,세화유통,00215222
445,용강,00252481
446,기바전자,00369897
447,에프에스비티아이코리아,00310855
448,디지텍,00370015
449,알에이코프,00303448
450,매경휴스닥,00404394
451,한국이연,00201946
452,한원텔레콤,00304207
453,진우,00305093
454,탑종합건설,00410720
455,썬키스,00354354
456,위슬런,00311049
457,대산반도체,00412782
458,네오소프트,00426615
459,드림에스디,00164061
460,크레디피아제십구차유동화전문,00381659
461,콩코드캐피탈아시아,00382959
462,에이브이씨닷컴,00118886
463,케이씨알파트너스,00374835
464,동성투자,00115700
465,오엔씨네트웍스,00389192
466,씨에스지,00346452
467,하이페리온제이차유동화전문유한회사,00420356
468,부산유조선,00425528
469,목동우림루미아트유동화전문유한회사,00427784
470,천보파이낸스,00244297
471,나라펫,00428817
472,하이케어시스템즈,00425740
473,우리금융제일차유동화전문유한회사,00389086
474,키치녹스,00425759
475,에이치에스제일차유동화전문유한회사,00426721
476,신드림풀유동화전문유한회사,00426651
477,넥센캐피탈,00427951
478,종연산업,00448112
479,성환,00446655
480,삼두디엔에스,00357111
481,녹십자피디,00360717
482,율비,00411321
483,삼희산업,00193221
484,아이스타뮤직,00407595
485,전일제지,00147417
486,신흥울테크,00367075
487,삼양이컴,00448501
488,전주코아호텔,00197856
489,헬리오스기업구조조정전문회사,00378017
490,동일상사,00207384
491,헨켈코리아,00233927
492,센텍,00255372
493,태흥기업,00246693
494,만적,00367932
495,성신무역,00334341
496,새한철강,00190224
497,한림종합개발,00448291
498,동방귀석,00445391
499,부곡관광,00169321
500,에이취.엠.에스,00434076
501,서통테크놀로지,00205128
502,한경섬유,00450250
503,세진티앤엠,00368126
504,경기교통,00175386
505,강호개발,00205748
506,만덕,00358378
507,한국어센셜소프트웨어,00221409
508,와우북,00414328
509,한서시계,00188061
510,부풍,00409982
511,세우무역,00134149
512,신우종합건설,00414461
513,중원,00304508
514,아스트로,00247753
515,한국멀티넷,00368816
516,넥스트미디어아이,00366085
517,일성리조트,00412302
518,동광산건,00387246
519,유렉셀테크놀러지,00265050
520,성일컴퓨텍,00236182
521,엠에프씨,00296555
522,얼라이언스시스템,00327226
523,대한주택이앤지,00412852
524,원창판지,00143970
525,한국피시,00301404
526,대륙공업,00109541
527,디지털테크놀러지,00404880
528,드림데이타,00393858
529,리첸시아유동화전문유한회사,00385123
530,코리아페이넷,00429010
531,디더블유씨유동화전문유한회사,00424963
532,티지일차유동화전문유한회사,00425768
533,피앤지정보통신,00426749
534,인바인,00330415
535,진흥주택,00150794
536,굿앤세이프,00429038
537,"ChugokuMarinePaints,Ltd.",00429117
538,디바이너,00421081
539,케이아이티창업투자,00361734
540,외환카드제사차유동화전문유한회사,00388768
541,오프마이십일,00425421
542,창신테크,00421850
543,파워엑시스,00425315
544,삼성프론티어제십이차유동화전문유한회사,00427580
545,쓰리엔제이차유동화전문유한회사,00425218
546,낙산관광호텔,00106951
547,현지개발,00395661
548,케이티비벤처벌처일호펀드,00275118
549,메타텍,00295389
550,골든보우창업투자,00389147
551,삼아,00126803
552,에스엠아이씨,00242341
553,오토피아제팔차유동화전문유한회사,00440314
554,니즈솔루션,00440332
555,이나라카드,00441322
556,히타치전선,00440165
557,미래에셋드림파이오니어펀드,00288884
558,GPS,00148452
559,하나은행,00156017
560,시스컴,00261045
561,개풍주택개발,00437532
562,지오스테크널러지,00303095
563,"IndusAsiaPacificFund,Ltd.",00438753
564,지앤텍,00367464
565,금화냉동,00201955
566,혜성,00409849
567,서통상사,00131443
568,유창섬유,00174022
569,피프,00444763
570,모수인터내쇼날,00412171
571,동해산업,00232973
572,대농중공업,00152419
573,신영팩토링,00257413
574,승진건설,00362511
575,아워스인베스트먼트,00446743
576,태흥산업개발,00253055
577,마하인더스트리,00448714
578,모아건설,00448705
579,경북레미콘,00101716
580,그루빅,00447876
581,라이프건설,00448671
582,대진종합건설,00217150
583,해피아이,00164344
584,성서,00303314
585,한신공업,00451213
586,오랙스정유,00407416
587,이논,00178675
588,예들,00367181
589,세제,00439062
590,가인수산,00413514
591,삼원산업,00127538
592,유덕건설,00370051
593,크로스전자,00415123
594,금성텔,00106012
595,한국아프라이드매그네틱스,00158495
596,스타럽스,00299774
597,텔레프리,00414911
598,금화도시개발,00414762
599,길정종합건설,00234078
600,메디링스,00412515
601,창원개발,00151076
602,우신레저산업,00170512
603,연이산업,00370033
604,다른신문,00406587
605,비투올네트,00413471
606,성진사,00248804
607,네투스테크놀러지,00359854
608,동구,00252870
609,비아이캐피탈,00300432
610,세아개발,00415938
611,퍼시픽스타,00370714
612,SKIMT,00345693
613,일신제약,00426226
614,모아에셋,00426235
615,그린페이퍼텍,00376505
616,원업제이차유동화전문유한회사,00427058
617,두손테크피아,00427100
618,유니맥코리아,00427331
619,아하크레딧유동화전문유한회사,00429144
620,거버너스M&A사모펀드2호,00429180
621,기가솔,00419916
622,모쿠스,00421009
623,남양산업,00363796
624,에이팩스기술투자,00302148
625,에스지테크놀러지,00426314
626,도이체방크아게런던,00427146
627,에이에스엠엘에스씨,00245065
628,얼라이언스캐피탈파트너즈,00427182
629,대진산업,00382852
630,하늘사랑,00362113
631,씨앤씨캐피탈,00220756
632,한양상사,00162319
633,"Photronics,Inc.",00355511
634,무빙넷,00400176
635,슈마커코리아,00396402
636,유케이,00439938
637,캐피탈리서치앤매니지먼트컴퍼니,00337977
638,월드타운,00436047
639,센텀파크유동화전문유한회사,00387097
640,인트빔,00274410
641,나래소프트시스템,00328100
642,삼광고하켐,00243845
643,OAKMARKINTERNATIONALFUND,00336260
644,신중앙99-1유동화전문유한회사,00262026
645,크레디피아유동화전문,00264431
646,중소기업유동화전문유한회사,00264495
647,산은캐피탈제일호유동화전문유한회사,00267067
648,국민제이차유동화전문회사,00290791
649,국민제일차유동화전문유한회사,00297837
650,남양씨앤씨,00429162
651,유일냉장,00203643
652,평산공영,00450108
653,파산자한국산업증권,00171414
