기업명,관리종목여부,년도,유동자산,현금및현금성자산,재고자산,매출채권,기타유동자산,비유동자산,유형자산,무형자산,투자부동산,기타비유동자산,자산총계,유동부채,매입채무,기타유동부채,비유동부채,부채총계,자본금,이익잉여금,기타자본구성요소,자본총계,부채와자본총계,매출액,매출원가,매출총이익(손실),판매비와관리비,영업이익(손실),금융수익,금융비용,법인세차감전순이익(손실),법인세비용,당기순이익(손실),총포괄손익,영업활동현금흐름,투자활동현금흐름,재무활동현금흐름,현금및현금성자산의순증가,기초현금및현금성자산,기말현금및현금성자산
태평양물산,N,2018,199980000000,3176423380,71975498657,110791000000,,295329000000,48245444765,2945369225,117982000000,,495309000000,276706000000,58973700344,,32254734279,308960000000,24955871000,93737136895,,186349000000,495309000000,717496000000,627223000000,90272576607,78929951821,11342624786,14380635423,22314365373,17296763087,3690046689,13606716398,16586936641,-9070814292,6746004454,-4490071554,-6814881392,10763983821,3176423380
태평양물산,N,2019,170071000000,870246141,104944000000,61798365629,,357114000000,42989285826,3086941711,130206000000,,527185000000,292474000000,45808778914,,44189131896,336663000000,24955871000,96851526368,,190522000000,527185000000,685841000000,594046000000,91795404957,72361559286,19433845671,10059541174,27593319191,4046707860,1030771440,3015936420,6127662007,-15471322305,-20797633835,34306583337,-1962372803,3176423380,870246141
팜스토리,N,2015,198208000000,19104937367,46919762744,62690999200,,222925000000,51539235788,716644863,,,421133000000,235980000000,19877534047,,39727831209,275708000000,18363971500,74024610109,,145425000000,421133000000,403834000000,349479000000,54355061698,35434953531,18920108167,10289372760,-15916172535,3162839568,938623335,2224216233,1694556839,-5310647435,-19022536060,14348195270,-9984988225,29072330802,19104937367
팜스토리,N,2016,183406000000,13020937718,41732212341,61437865528,,217330000000,51763100078,621374125,,,400737000000,198475000000,20006916595,,36678211579,235153000000,18363971500,85277443869,,165584000000,400737000000,382665000000,328316000000,54348447626,34799949242,19548498384,16035514088,19691470535,16160054943,-4795008138,11365046805,11252833760,31526514337,4099596974,-41709358118,-6083246807,19104937367,13020937718
팜스토리,N,2017,183224000000,6871612730,44190630769,52391433336,,213908000000,51114074080,536428811,,,397132000000,197489000000,21649468941,,24778281469,222267000000,18363971500,94558807846,,174865000000,397132000000,410530000000,356505000000,54024436340,37289199843,16735236497,12055084677,13670367299,14773490570,5363375831,9410114739,9281363977,14208013716,-12855872363,-7501466341,-6149324988,13020937718,6871612730
팜스토리,N,2018,188620000000,6423593133,55846167702,80713863086,,249842000000,51193779311,351509980,,,438462000000,238766000000,22137115888,,19453781732,258219000000,18363971500,100791000000,,180243000000,438462000000,460604000000,405881000000,54722360877,40542156678,14180204199,8453976516,12639572407,10404985270,3558285043,6846700227,6143823025,-9167839719,-5508024347,14227866881,-448019597,6871612730,6423593133
팜스토리,N,2019,362142000000,23150738948,107924000000,179025000000,,183678000000,98014532245,833397874,,,545819000000,357826000000,58113714711,,33157923450,390984000000,18363971500,109791000000,,154836000000,545819000000,538290000000,470587000000,67702246223,49099625466,18602620757,11067359692,16040888222,14553709363,5823694696,8730014667,13448007332,32825488823,18238380271,-49748497259,16727145815,6423593133,23150738948
포스코 ICT,N,2015,369438000000,77405753203,4571100361,259150000000,,283051000000,156186000000,32120746430,2595064480,,652489000000,279905000000,67401368703,,30717875478,310623000000,76017364500,43970734415,,341866000000,652489000000,804863000000,716339000000,11094323549,0,11094323549,15204821342,55592112051,-74996927533,4637698524,-79634626057,-77802119578,53238195689,45277090462,-34033299100,64481987051,12806010646,77405753203
포스코 ICT,N,2016,385075000000,68068125620,2627784376,271054000000,,259433000000,148572000000,24516399219,2559765796,,649838000000,251577000000,76005738714,,25488552796,277065000000,76017364500,74999845008,,372773000000,649838000000,838258000000,727106000000,50534344095,0,50534344095,8911234451,21649803382,33342732329,5452203434,27890528895,30906759538,4843405990,-12713854887,-1721537900,-9591986797,77405753203,68068125620
포스코 ICT,N,2017,370424000000,58100557020,539668112,272339000000,,264044000000,151318000000,22768821122,1316283112,,634469000000,203924000000,52985011797,,31899708273,235824000000,76017364500,101009000000,,398645000000,634469000000,918345000000,791158000000,127187000000,70601945076,56584959603,3607782020,10572414510,47302323724,-4926486792,42375836932,33435291059,22409991889,-24662966779,-7564208200,-9967568600,68068125620,58100557020
포스코 ICT,N,2018,329776000000,48504514542,830751997,190172000000,,267215000000,144948000000,22705421043,1280984428,,596991000000,207941000000,67719645730,,51158179646,259099000000,76017364500,42636494781,,337892000000,596991000000,894978000000,785823000000,39957120189,0,39957120189,6046889547,7900889623,-39833198830,-6603050789,-33230148041,-44119959396,28477633625,-26651549934,-11355333000,-9529249309,58100557020,48504514542
포스코 ICT,N,2019,443800000000,95968354917,1975950326,230116000000,,220098000000,116996000000,8600497553,,,663898000000,261851000000,102797000000,,38830083185,300681000000,76017364500,68739847035,,363217000000,663898000000,936990000000,810017000000,46501557273,0,46501557273,6557574135,4672486652,50519021633,12425944663,38093076970,32915530747,62310358577,-6162671201,-8547259778,47600427598,48504514542,95968354917
대원강업,N,2015,231140000000,31032872,38171409645,164998000000,,527838000000,355574000000,10004606311,,,758978000000,295297000000,129537000000,,93064533514,388361000000,31000000000,316757000000,,370617000000,758978000000,773297000000,702403000000,70893936853,43058554802,27835382051,165425011,5831877299,30784084973,4958897741,25825187232,19496181719,47052738181,-1010648965,-46054466561,-12377345,43410217,31032872
대원강업,N,2016,281707000000,16890034141,21997631013,206496000000,,549345000000,362096000000,9517080311,,,831053000000,344365000000,120196000000,,95696592671,440062000000,31000000000,332253000000,,390991000000,831053000000,834441000000,763146000000,71294483282,41985831292,29308651990,99505338,5135916322,31160702286,4943817652,26216884634,28123443051,16997137504,-43984020828,43457583063,16859001269,31032872,16890034141
대원강업,N,2017,209834000000,867125839,18115545096,164443000000,,521774000000,346498000000,9517080311,,,731607000000,247998000000,111168000000,,85121782443,333120000000,31000000000,341868000000,,398488000000,731607000000,770724000000,706960000000,63764228834,40340844666,23423384168,115189080,4891030673,17768611428,1467091858,16301519570,15246968513,69845943410,4776433802,-90645285514,-16022908302,16890034141,867125839
대원강업,N,2018,152301000000,53981187,31733476527,96948883931,,528994000000,336514000000,8049632840,,,681295000000,195039000000,106053000000,,82200508405,277239000000,31000000000,353390000000,,404056000000,681295000000,709572000000,652154000000,57418666181,38427429541,19068010615,111737240,3080709508,18483450900,2844217941,15639232959,11984054702,96965257125,-37257053255,-60521348522,-813144652,867125839,53981187
대원강업,N,2019,134229000000,425255144,27601087895,86437418605,,517899000000,314302000000,7639632840,2821973422,,652129000000,197016000000,89609002291,,45816489020,242833000000,31000000000,357951000000,,409296000000,652129000000,683068000000,636462000000,46606113258,34834913616,12147494622,175136706,2188948754,17984097902,7666103422,10317994480,12369470950,6816563887,-1672253822,-4773036108,371273957,53981187,425255144
KG이니시스,N,2015,112696000000,11524228847,1001664500,30455728747,,177848000000,1109965533,4817513398,,,290543000000,83916407781,3078306,,46231205837,130148000000,13290040500,130196000000,,160396000000,290543000000,306754000000,236697000000,70056888862,42398585188,27658303674,2525729698,2086482742,30650178591,5760247908,21553999331,22375121612,-69239579076,21444414008,16660080715,-31135084353,42659313200,11524228847
KG이니시스,N,2016,152104000000,35720630878,1510000,49451006627,,225044000000,4184987301,11013140178,14872836588,,377148000000,198493000000,4744912,,1251413190,199745000000,13290040500,130704000000,,177403000000,377148000000,338860000000,270219000000,68640591661,42354034047,26286557614,1246235900,2115003927,6479259356,1054697829,5424561527,2173259862,73054351430,-67998140149,19140190750,24196402031,11524228847,35720630878
KG이니시스,N,2017,213442000000,117397000000,130000,17657742629,,227969000000,3136320499,10462218389,16789148919,,441411000000,288844000000,35624402,,1459145638,290303000000,13941503000,85813201002,,151108000000,441411000000,443490000000,363157000000,80332770493,48308165322,32024605171,1227471713,1262278486,-42905892808,-4599729353,-38306163455,-34904621805,206383000000,-84407454762,-40290413070,81685088463,35720630878,117397000000
KG이니시스,N,2018,220945000000,114590000000,7648000,,,229814000000,2237350798,8960057545,16526716335,,450759000000,275378000000,,,323882163,275702000000,13952217000,110072000000,,175057000000,450759000000,483481000000,396348000000,87132842264,49085355472,38047486792,6561666618,330035593,39229306529,7792432448,31436874081,31028482195,15611487193,-2297035553,-16124222932,-2809771292,117397000000,114590000000
KG이니시스,N,2019,236447000000,143991000000,145929086,16950092064,,315469000000,5960117846,7371830914,16264283751,,551916000000,345558000000,127528640,,4557923749,350116000000,13952217000,145183000000,,201800000000,551916000000,481270000000,385477000000,95793108388,54680864594,41112243794,14004313756,460766662,53858401640,13256864938,40601536702,49464889974,110596000000,-64730762656,-16467486749,29398089704,114590000000,143991000000
신성통상,N,2015,393715000000,26135109889,220054000000,131244000000,,306761000000,147564000000,1297547753,18890899798,,700476000000,364022000000,93656183870,,89385941003,453408000000,71854195000,96722081528,,247068000000,700476000000,826346000000,526978000000,299368000000,258865000000,40502900167,1682825657,20499264655,16490082192,7430545634,9059536558,8449139380,17115253739,-33522098870,21852658252,5514821127,20620288762,26135109889
